@relation ModifiedAllData

@attribute Uacc 	numeric
@attribute Ugyro 	numeric
@attribute class 	{D, G, H, W}

@data

0.437024112, 0.124465449, D
0.801353757, 0.746668053, D
0.439690948, 0.548564585, D
0.378088797, 0.155863336, D
0.352248478, 0.142312587, D
0.55087754, 0.753845764, D
0.63651575, 0.440108191, D
0.559823028, 0.202865156, D
0.419122976, 0.033718411, D
0.369400236, 0.0113412, D
0.685083196, 0.458347541, D
0.354635634, 0.746947871, D
0.421991228, 0.244741137, D
0.327530103, 0.093824896, D
0.39789374, 0.675432442, D
0.780189431, 0.696330386, D
0.476556756, 0.134142663, D
0.391694066, 0.021924276, D
0.426114939, 0.023792222, D
0.665431439, 0.808724453, D
0.375913918, 0.492037038, D
0.395067642, 0.217470105, D
0.286692477, 0.083303111, D
0.564826914, 1.130648303, D
0.748607496, 0.375459272, D
0.485883022, 0.126104576, D
0.406898642, 0.017429796, D
0.434987573, 0.058509489, D
0.543826556, 0.232967597, D
0.734102681, 1.132629571, D
0.391573114, 0.303500329, D
0.336881321, 0.144168787, D
0.256837365, 0.152760017, D
1.295722287, 1.610074619, D
0.747047851, 0.212698464, D
0.413062578, 0.03102699, D
0.410288516, 0.026992611, D
0.759953445, 0.516588441, D
0.397793281, 0.887066241, D
0.461574162, 0.411710584, D
0.38673103, 0.398135375, D
1.84372329, 1.752981716, D
0.510343148, 0.149309993, D
0.457124906, 0.070951845, D
0.888362376, 0.996662052, D
0.513289366, 0.680161004, D
0.350588527, 0.403833997, D
0.511806351, 0.486096744, D
1.149596641, 1.419063658, D
0.560329559, 0.183978272, D
0.42932342, 0.042289224, D
0.401230845, 0.013143843, D
0.99577266, 0.991378049, D
0.441356792, 0.719275061, D
0.335763267, 0.428562419, D
0.305838355, 0.166090594, D
1.370162453, 1.84485356, D
0.7708521, 0.240110506, D
0.431948343, 0.062223296, D
0.435825263, 0.033553249, D
0.829267565, 1.198594203, D
0.459055765, 0.698654204, D
0.28506771, 0.420149539, D
0.313400545, 0.066177438, D
1.291656317, 1.737767125, D
1.201086477, 0.489258755, D
0.395648544, 0.063391284, D
0.407104973, 0.052498218, D
0.520888318, 0.26305584, D
0.614295912, 1.112398009, D
0.425454701, 0.439878116, D
0.625699082, 0.878649111, D
1.044907265, 0.69398375, D
0.407467099, 0.087958724, D
0.403167185, 0.016680386, D
0.391855758, 0.007764771, D
0.940358067, 0.413672148, D
0.539372555, 1.083864461, D
0.358903665, 0.304053232, D
0.992408446, 1.246454706, D
0.996950871, 0.430464746, D
0.453514697, 0.120139698, D
0.35940022, 0.034577986, D
0.500085991, 0.130395926, D
0.880820034, 1.115793847, D
0.403781063, 0.442676964, D
0.555407079, 0.594017869, D
1.125209709, 1.120585453, D
0.406274744, 0.05483203, D
0.335319963, 0.039147281, D
0.909272781, 1.080283298, D
0.487202735, 0.50305771, D
0.320554244, 0.244076903, D
1.1513136, 1.362022841, D
0.94092227, 0.405107282, D
0.348785713, 0.038969783, D
0.340371663, 0.070347517, D
0.645827133, 0.232418178, D
0.761948076, 1.004398366, D
0.474008715, 0.592812774, D
0.368843108, 0.228816044, D
1.354347217, 1.716539185, D
0.487678788, 0.238149396, D
0.343437253, 0.098231656, D
0.282105815, 0.032511513, D
0.994409535, 1.218832555, D
0.389406257, 0.677874825, D
0.303477597, 0.127316344, D
1.532410629, 1.601405439, D
0.471593724, 0.11460431, D
0.331456738, 0.031074389, D
0.315922358, 0.008429982, D
0.747141035, 0.495153984, D
0.395540471, 0.949070589, D
0.354678183, 0.317110545, D
1.502231012, 1.463535879, D
0.547571578, 0.106091731, D
0.32767266, 0.031594767, D
0.815849699, 1.015443787, D
0.342311269, 0.529281592, D
0.312136664, 0.294079721, D
0.905982419, 1.187234499, D
1.168235251, 0.957765796, D
0.669291135, 0.50457849, D
0.62393223, 0.146610038, D
0.377711177, 0.026548759, D
1.097306145, 0.71947159, D
0.5858082, 1.25056701, D
0.285963681, 0.282140194, D
0.539073334, 0.414323226, D
1.857322604, 1.981046291, D
0.583395452, 0.2141667, D
0.379682442, 0.073520316, D
