@relation evaluateActivityData

@attribute accelerometer 	numeric
@attribute gyroscope 	numeric
@attribute class 	{Drink, Glass&Hair}

@data
0.711684378, 0.638072216, Drink
0.508671593, 0.529896687, Drink
0.676818464, 0.645046101, Drink
0.566539499, 0.593058948, Drink
0.696888625, 0.684962321, Drink
0.538479726, 0.718664746, Drink
0.721089181, 0.756069233, Drink
0.5857031, 0.710215932, Drink
0.804205859, 0.772019673, Drink
0.751067787, 0.808996575, Drink
0.863107187, 0.785399909, Drink
0.673591946, 0.820004841, Drink
0.565064676, 0.638285496, Drink
0.889067511, 0.886696074, Drink
0.578026214, 0.716939113, Drink
0.638888669, 0.817130669, Drink
0.707594232, 0.709281899, Drink
0.736706281, 0.764540566, Drink
0.678961535, 0.756804294, Drink
0.717528161, 0.701089899, Drink
0.793570913, 0.725405125, Drink
0.672174349, 0.720769232, Drink
0.746764562, 0.729494834, Drink
1.466292569, 1.132405677, Glass&Hair
2.064943291, 1.617833842, Glass&Hair
1.810793967, 1.369542748, Glass&Hair
1.203199773, 1.005364568, Glass&Hair
1.576364828, 1.029795917, Glass&Hair
1.616515667, 1.114733132, Glass&Hair
1.235267978, 0.709955657, Glass&Hair
1.363265004, 0.957216845, Glass&Hair
1.455678309, 1.146027105, Glass&Hair
1.181681015, 0.937847393, Glass&Hair
1.411632512, 0.664080867, Glass&Hair
1.317555523, 0.780165412, Glass&Hair
1.156713411, 0.87537666, Glass&Hair
1.377865676, 0.681287883, Glass&Hair
2.613057133, 2.331545548, Glass&Hair
1.98848894, 1.562307091, Glass&Hair
2.117199423, 1.434452127, Glass&Hair
1.270559695, 0.762330906, Glass&Hair
1.826045685, 1.210412651, Glass&Hair
1.34919565, 1.072127017, Glass&Hair
1.878229133, 1.305000473, Glass&Hair
1.601822532, 1.057550967, Glass&Hair
2.142989576, 1.510393444, Glass&Hair
