@relation evalute

@attribute accelerometer 	numeric
@attribute gyroscope 	numeric
@attribute class 	{Drink, Jogging, Walking}

@data
0.711684378, 0.638072216, Drink
0.508671593, 0.529896687, Drink
0.676818464, 0.645046101, Drink
0.566539499, 0.593058948, Drink
0.696888625, 0.684962321, Drink
0.538479726, 0.718664746, Drink
0.721089181, 0.756069233, Drink
0.5857031, 0.710215932, Drink
0.804205859, 0.772019673, Drink
0.751067787, 0.808996575, Drink
0.863107187, 0.785399909, Drink
0.673591946, 0.820004841, Drink
0.565064676, 0.638285496, Drink
0.889067511, 0.886696074, Drink
0.578026214, 0.716939113, Drink
0.638888669, 0.817130669, Drink
0.707594232, 0.709281899, Drink
0.736706281, 0.764540566, Drink
0.678961535, 0.756804294, Drink
0.717528161, 0.701089899, Drink
0.793570913, 0.725405125, Drink
0.672174349, 0.720769232, Drink
0.746764562, 0.729494834, Drink
0.724862861, 0.756453175, Drink
0.762881484, 0.864328118, Drink
0.66917412, 0.743172046, Drink
0.823041071, 0.866923865, Drink
0.945502691, 0.90781164, Drink
0.775577577, 0.835558618, Drink
1.017697611, 0.961093004, Drink
0.849948586, 0.82468358, Drink
0.874549203, 1.049695156, Drink
0.614110814, 0.605478484, Drink
0.528112471, 0.568316666, Drink
0.494267593, 0.54117418, Drink
0.557524311, 0.524078484, Drink
0.577153442, 0.601913615, Drink
0.561158714, 0.598631806, Drink
0.630830177, 0.731292058, Drink
0.653103038, 0.659017023, Drink
0.70689187, 0.714394034, Drink
0.697504581, 0.78052673, Drink
0.707497168, 0.769545668, Drink
0.685563956, 0.75149827, Drink
0.576904612, 0.732184815, Drink
0.562188641, 0.609277822, Drink
0.555429524, 0.572362231, Drink
0.541898893, 0.665154427, Drink
0.541002342, 0.588696394, Drink
0.600834824, 0.634412921, Drink
0.5175355, 0.575389169, Drink
0.555688035, 0.673254318, Drink
0.563624747, 0.520983094, Drink
0.551201688, 0.655301323, Drink
0.529523731, 0.555237374, Drink
0.610719888, 0.703244887, Drink
0.778713581, 0.807749084, Drink
0.706707157, 0.859391949, Drink
0.784682833, 0.849404752, Drink
0.770724152, 0.789182458, Drink
0.763123785, 0.801218473, Drink
0.81952291, 1.011191988, Drink
0.548980909, 0.633405356, Drink
0.621108645, 0.610742272, Drink
0.61151729, 0.661683046, Drink
0.693442922, 0.652602814, Drink
0.662832161, 0.724642548, Drink
0.684235371, 0.774684446, Drink
0.616429806, 0.747304556, Drink
0.739184523, 0.904753868, Drink
1.049409316, 0.612201995, Drink
0.952397997, 0.514085443, Drink
0.803047899, 0.669012928, Drink
1.024702696, 0.753635768, Drink
1.195393771, 0.68617588, Drink
0.998317994, 0.718473364, Drink
0.815290913, 0.756834631, Drink
0.961303511, 1.069632493, Drink
0.881708687, 0.794894089, Drink
0.783922648, 0.576479133, Drink
0.659680122, 0.617289181, Drink
0.599952729, 0.476488431, Drink
0.63955166, 0.481467658, Drink
0.576004781, 0.456997133, Drink
0.924893194, 0.970332865, Drink
0.861841343, 0.860590611, Drink
0.85304436, 0.732247371, Drink
0.86087303, 0.792562727, Drink
0.458761907, 0.326264095, Drink
0.455810451, 0.504668283, Drink
0.541137037, 0.504668283, Drink
0.550510889, 0.510365991, Drink
0.564081209, 0.378452184, Drink
0.616254311, 0.508434539, Drink
0.761520621, 0.477397223, Drink
12.32465177, 2.926972434, Jogging
12.76825174, 2.93550936, Jogging
12.21215821, 3.106355065, Jogging
13.11635129, 3.127026496, Jogging
13.26817599, 2.864644205, Jogging
13.23633282, 2.985360867, Jogging
13.66871257, 3.112929905, Jogging
13.84959049, 2.929642658, Jogging
13.86267511, 2.887238375, Jogging
14.22076825, 3.124475009, Jogging
15.78171402, 3.930123556, Jogging
13.17143232, 3.09073724, Jogging
12.14126912, 2.889928165, Jogging
12.05613223, 2.857432985, Jogging
12.45282195, 2.669880382, Jogging
11.8348855, 2.673603393, Jogging
11.65187826, 2.786976384, Jogging
15.35916839, 3.77278143, Jogging
12.72480056, 2.812017978, Jogging
14.17747727, 3.062349448, Jogging
14.16148069, 3.085881022, Jogging
13.87198285, 3.088028406, Jogging
13.69090581, 2.855158467, Jogging
13.05407932, 2.958112543, Jogging
11.41626809, 2.204000057, Jogging
12.39499283, 2.473507635, Jogging
10.79909604, 2.408331602, Jogging
13.68028681, 2.66444896, Jogging
12.78936223, 2.493208584, Jogging
12.94339896, 2.634484762, Jogging
15.29781547, 3.643456994, Jogging
13.86035555, 2.82888961, Jogging
15.11106305, 3.269422244, Jogging
13.14848763, 3.006968425, Jogging
14.16712449, 3.132972686, Jogging
15.35427399, 3.42708116, Jogging
13.11219697, 2.896455061, Jogging
