@relation evaluateDrinkingAndHair&Glasses

@attribute accelerometer 	numeric
@attribute gyroscope 	numeric
@attribute class 	{Drink, Hair&Glasses}

@data
4.587151349, 3.598000129, Hair&Glasses
0.388725885, 0.147982247, Hair&Glasses
0.112107088, 0.101712747, Hair&Glasses
4.367521676, 3.14113614, Hair&Glasses
4.687286336, 3.0057474, Hair&Glasses
6.122564092, 4.357296471, Hair&Glasses
5.679333318, 4.039338639, Hair&Glasses
4.172234897, 3.045885798, Hair&Glasses
2.988380579, 2.854880364, Hair&Glasses
0.227004904, 0.134923207, Hair&Glasses
0.206105231, 0.10509961, Hair&Glasses
1.805769349, 1.894688978, Hair&Glasses
3.805591839, 3.347387069, Hair&Glasses
4.402757543, 2.8545673, Hair&Glasses
4.909226735, 3.235720004, Hair&Glasses
3.605027107, 3.597250181, Hair&Glasses
1.608900538, 0.780733258, Hair&Glasses
0.257636509, 0.109776395, Hair&Glasses
0.327550053, 0.101010975, Hair&Glasses
3.206708782, 2.998391972, Hair&Glasses
5.673016571, 3.643481008, Hair&Glasses
4.338454803, 3.050348173, Hair&Glasses
7.661071812, 3.47125408, Hair&Glasses
0.627717608, 0.326692462, Hair&Glasses
0.229490393, 0.09371776, Hair&Glasses
1.274120206, 0.990349617, Hair&Glasses
3.451479424, 2.405873203, Hair&Glasses
2.8426279, 2.336687189, Hair&Glasses
4.115137371, 2.898208938, Hair&Glasses
2.465599497, 2.249981994, Hair&Glasses
0.389525396, 0.270206648, Hair&Glasses
0.249249163, 0.107071901, Hair&Glasses
0.26081561, 0.107120358, Hair&Glasses
1.663961381, 1.871300446, Hair&Glasses
4.565998342, 3.558566795, Hair&Glasses
1.728303516, 1.32427026, Hair&Glasses
1.985392492, 2.281721778, Hair&Glasses
0.510778248, 0.108937621, Hair&Glasses
0.571871986, 0.350438724, Hair&Glasses
2.933317521, 2.670867055, Hair&Glasses
1.632825234, 1.46427129, Hair&Glasses
3.190307642, 2.235429388, Hair&Glasses
2.489655747, 2.627381014, Hair&Glasses
0.871847784, 0.191931243, Hair&Glasses
0.355792528, 0.117984827, Hair&Glasses
0.409335131, 0.181806265, Hair&Glasses
2.509455201, 2.803202882, Hair&Glasses
2.186150303, 2.873754487, Hair&Glasses
1.124817151, 0.662623652, Hair&Glasses
0.277621117, 0.118711549, Hair&Glasses
0.28689509, 0.143674402, Hair&Glasses
1.432585849, 1.376092506, Hair&Glasses
1.356353327, 2.008253131, Hair&Glasses
0.735242745, 1.059600632, Hair&Glasses
2.381332765, 1.866003093, Hair&Glasses
0.482232562, 0.305368175, Hair&Glasses
0.297694127, 0.106483421, Hair&Glasses
0.302370651, 0.10167065, Hair&Glasses
2.55626687, 2.67879689, Hair&Glasses
1.95589206, 1.825562689, Hair&Glasses
3.262986026, 2.287157041, Hair&Glasses
2.154292273, 2.047173675, Hair&Glasses
1.649566636, 1.641741166, Hair&Glasses
0.31499102, 0.264234981, Hair&Glasses
0.361113827, 0.166330976, Hair&Glasses
0.328587873, 0.09939883, Hair&Glasses
2.155351014, 1.699078644, Hair&Glasses
2.436227165, 2.188538776, Hair&Glasses
2.311235839, 2.046057297, Hair&Glasses
0.454510727, 0.258828285, Hair&Glasses
0.290049045, 0.104082855, Hair&Glasses
2.456965122, 1.778161374, Hair&Glasses
0.711684378, 0.638072216, Drink
0.508671593, 0.529896687, Drink
0.676818464, 0.645046101, Drink
0.566539499, 0.593058948, Drink
0.696888625, 0.684962321, Drink
0.538479726, 0.718664746, Drink
0.721089181, 0.756069233, Drink
0.5857031, 0.710215932, Drink
0.804205859, 0.772019673, Drink
0.751067787, 0.808996575, Drink
0.863107187, 0.785399909, Drink
0.673591946, 0.820004841, Drink
0.565064676, 0.638285496, Drink
0.889067511, 0.886696074, Drink
0.578026214, 0.716939113, Drink
0.638888669, 0.817130669, Drink
0.707594232, 0.709281899, Drink
0.736706281, 0.764540566, Drink
0.678961535, 0.756804294, Drink
0.717528161, 0.701089899, Drink
0.793570913, 0.725405125, Drink
0.672174349, 0.720769232, Drink
0.746764562, 0.729494834, Drink
0.724862861, 0.756453175, Drink
0.762881484, 0.864328118, Drink
0.66917412, 0.743172046, Drink
0.823041071, 0.866923865, Drink
0.945502691, 0.90781164, Drink
0.775577577, 0.835558618, Drink
1.017697611, 0.961093004, Drink
0.849948586, 0.82468358, Drink
0.874549203, 1.049695156, Drink
