@relation evaluateJoggingWalking

@attribute accelerometer 	numeric
@attribute gyroscope 	numeric
@attribute class 	{Jogging, Walking}

@data
14.16148069, 3.085881022, Jogging
13.87198285, 3.088028406, Jogging
13.69090581, 2.855158467, Jogging
13.05407932, 2.958112543, Jogging
11.41626809, 2.204000057, Jogging
12.39499283, 2.473507635, Jogging
13.68028681, 2.66444896, Jogging
12.78936223, 2.493208584, Jogging
12.94339896, 2.634484762, Jogging
15.29781547, 3.643456994, Jogging
13.86035555, 2.82888961, Jogging
15.11106305, 3.269422244, Jogging
13.14848763, 3.006968425, Jogging
14.16712449, 3.132972686, Jogging
15.35427399, 3.42708116, Jogging
13.11219697, 2.896455061, Jogging
14.61488262, 2.830986855, Jogging
14.71659644, 2.911725147, Jogging
14.28974777, 2.941949423, Jogging
13.87373484, 2.863762011, Jogging
14.20229717, 3.025194248, Jogging
14.9979899, 3.996955114, Jogging
13.46766548, 3.826310328, Jogging
14.98479587, 4.03881888, Jogging
13.64164352, 4.125060565, Jogging
14.50195135, 4.111322515, Jogging
14.05934127, 3.954634015, Jogging
13.70205339, 3.567245856, Jogging
15.46420688, 3.875240975, Jogging
12.65970495, 3.316641371, Jogging
13.62824203, 3.460508167, Jogging
12.81236437, 3.38642355, Jogging
12.71888719, 3.602959609, Jogging
13.27170971, 3.680572148, Jogging
12.05731928, 3.465808411, Jogging
12.73516379, 3.458129366, Jogging
12.67149917, 3.458129366, Jogging
13.88940093, 3.61976942, Jogging
12.66069256, 3.346661637, Jogging
15.2224751, 4.247721249, Jogging
15.65350122, 4.445904729, Jogging
14.28798898, 3.895071375, Jogging
13.92338297, 4.131832966, Jogging
13.36228279, 3.942812888, Jogging
14.02255209, 4.104778366, Jogging
14.45035133, 4.112162384, Jogging
15.05395253, 4.05366927, Jogging
13.23763851, 3.611902539, Jogging
12.95289659, 3.437616178, Jogging
12.47812808, 3.726434599, Jogging
13.03328849, 3.816313043, Jogging
12.10321576, 3.499797042, Jogging
12.71769788, 3.966336172, Jogging
12.70402283, 3.672389186, Jogging
12.45410779, 3.851485235, Jogging
16.00300296, 3.959187462, Jogging
12.51302038, 3.468764685, Jogging
12.06977656, 3.465887332, Jogging
12.39682682, 3.478116082, Jogging
12.99720169, 3.441609804, Jogging
14.19358044, 3.988947162, Jogging
12.12487114, 3.584956921, Jogging
12.2475225, 3.607777241, Jogging
13.00771604, 3.930378777, Jogging
13.9989321, 4.069244015, Jogging
12.23454363, 3.371798006, Jogging
13.09303804, 3.631230917, Jogging
13.52871238, 4.114676976, Jogging
12.2723016, 3.75523086, Jogging
12.34785975, 3.509342063, Jogging
13.56080796, 4.502456242, Jogging
13.72296364, 4.017808688, Jogging
12.5781092, 3.758811998, Jogging
12.56705688, 3.512396041, Jogging
12.95209934, 3.809016134, Jogging
12.19146745, 3.231601011, Jogging
13.03198479, 3.389747529, Jogging
13.13796239, 3.922139189, Jogging
12.76174219, 3.26018244, Jogging
12.53904552, 3.143403483, Jogging
12.00245031, 2.627849898, Jogging
12.31990854, 2.791564619, Jogging
12.53114512, 3.194842317, Jogging
12.83070368, 3.6610252, Jogging
12.59076122, 3.066774763, Jogging
12.30267968, 3.564190706, Jogging
12.87884347, 3.242049771, Jogging
12.66854657, 3.392771318, Jogging
12.38562315, 3.177906685, Jogging
12.71001247, 3.722427101, Jogging
12.84395155, 3.952293983, Jogging
12.59237581, 3.790751366, Jogging
3.66715902, 1.40021896, Walking
