@relation evaluateWalkingAndJogging

@attribute accelerometer 	numeric
@attribute gyroscope 	numeric
@attribute class 	{Jogging, Walking}

@data
12.32465177, 2.926972434, Jogging
12.76825174, 2.93550936, Jogging
12.21215821, 3.106355065, Jogging
13.11635129, 3.127026496, Jogging
13.26817599, 2.864644205, Jogging
13.23633282, 2.985360867, Jogging
13.66871257, 3.112929905, Jogging
13.84959049, 2.929642658, Jogging
13.86267511, 2.887238375, Jogging
14.22076825, 3.124475009, Jogging
15.78171402, 3.930123556, Jogging
13.17143232, 3.09073724, Jogging
12.14126912, 2.889928165, Jogging
12.05613223, 2.857432985, Jogging
12.45282195, 2.669880382, Jogging
11.8348855, 2.673603393, Jogging
11.65187826, 2.786976384, Jogging
15.35916839, 3.77278143, Jogging
12.72480056, 2.812017978, Jogging
14.17747727, 3.062349448, Jogging
14.16148069, 3.085881022, Jogging
13.87198285, 3.088028406, Jogging
13.69090581, 2.855158467, Jogging
13.05407932, 2.958112543, Jogging
11.41626809, 2.204000057, Jogging
12.39499283, 2.473507635, Jogging
10.79909604, 2.408331602, Jogging
13.68028681, 2.66444896, Jogging
12.78936223, 2.493208584, Jogging
12.94339896, 2.634484762, Jogging
15.29781547, 3.643456994, Jogging
13.86035555, 2.82888961, Jogging
15.11106305, 3.269422244, Jogging
13.14848763, 3.006968425, Jogging
14.16712449, 3.132972686, Jogging
15.35427399, 3.42708116, Jogging
13.11219697, 2.896455061, Jogging
14.61488262, 2.830986855, Jogging
14.71659644, 2.911725147, Jogging
14.28974777, 2.941949423, Jogging
13.87373484, 2.863762011, Jogging
14.20229717, 3.025194248, Jogging
14.9979899, 3.996955114, Jogging
13.46766548, 3.826310328, Jogging
14.98479587, 4.03881888, Jogging
13.64164352, 4.125060565, Jogging
14.50195135, 4.111322515, Jogging
14.05934127, 3.954634015, Jogging
13.70205339, 3.567245856, Jogging
15.46420688, 3.875240975, Jogging
12.65970495, 3.316641371, Jogging
13.62824203, 3.460508167, Jogging
12.81236437, 3.38642355, Jogging
12.71888719, 3.602959609, Jogging
13.27170971, 3.680572148, Jogging
12.05731928, 3.465808411, Jogging
11.72680698, 3.306985285, Jogging
12.73516379, 3.458129366, Jogging
12.67149917, 3.458129366, Jogging
13.88940093, 3.61976942, Jogging
12.66069256, 3.346661637, Jogging
15.2224751, 4.247721249, Jogging
15.65350122, 4.445904729, Jogging
14.28798898, 3.895071375, Jogging
