@relation ModifiedAllData

@attribute Uacc 	numeric
@attribute class 	{D, R, G, H}

@data
0.371128994,D
0.773099336,D
0.784730256,D
0.420714738,D
0.402373593,D
0.797217738,D
0.643285699,D
0.447884663,D
0.437024112,D
0.801353757,D
0.439690948,D
0.434987573,D
0.543826556,D
0.734102681,D
0.391573114,D
0.336881321,D
0.256837365,D
1.295722287,D
0.747047851,D
0.413062578,D
0.410288516,D
0.759953445,D
0.397793281,D
0.461574162,D
0.38673103,D
1.84372329,D
0.510343148,D
0.387386923,D
0.400368812,D
0.457124906,D
0.888362376,D
0.513289366,D
0.350588527,D
0.511806351,D
1.149596641,D
0.560329559,D
0.42932342,D
0.99577266,D
0.441356792,D
0.335763267,D
0.305838355,D
1.370162453,D
0.7708521,D
0.431948343,D
0.393817219,D
0.435825263,D
0.829267565,D
0.459055765,D
0.28506771,D
0.313400545,D
1.291656317,D
1.201086477,D
0.395648544,D
0.407104973,D
0.520888318,D
0.614295912,D
0.425454701,D
0.625699082,D
1.044907265,D
0.407467099,D
0.391855758,D
0.940358067,D
0.539372555,D
0.358903665,D
0.992408446,D
0.996950871,D
0.453514697,D
0.35940022,D
0.410236032,D
0.500085991,D
0.880820034,D
0.403781063,D
0.555407079,D
1.125209709,D
0.406274744,D
0.335319963,D
0.909272781,D
0.487202735,D
0.320554244,D
1.1513136,D
0.94092227,D
0.348785713,D
0.340371663,D
0.645827133,D
0.761948076,D
0.474008715,D
0.368843108,D
1.354347217,D
0.487678788,D
0.282105815,D
0.994409535,D
0.389406257,D
0.303477597,D
1.532410629,D
0.471593724,D
0.331456738,D
0.315922358,D
0.747141035,D
0.395540471,D
0.354678183,D
1.502231012,D
0.547571578,D
0.365910754,D
0.377711177,D
1.097306145,D
0.5858082,D
0.285963681,D
0.539073334,D
1.857322604,D
0.583395452,D
0.379682442,D
0.936131025,D
0.634458952,D
1.572929395,D
1.740697116,D
0.442904621,D
0.455007,D
1.11210407,D
0.578902013,D
0.2866522,D
1.17941726,D
1.12346184,D
0.497529742,D
0.411749739,D
1.057726009,D
1.136532657,D
1.028013026,D
1.187912739,D
1.881495721,D
0.595614684,D
0.4506118,D
0.387576442,D
0.976556854,D
1.240597412,D
0.465884705,D
0.346163998,D
1.608957759,D
0.802106658,D
0.423383935,D
0.738804191,D
1.060182562,D
0.820810022,D
0.381790758,D
0.254460282,D
2.43886321,D
0.716225016,D
0.715623877,D
0.483868763,D
0.392362297,D
0.648684925,D
1.177256557,D
0.583397791,D
0.287203654,D
0.289950958,D
1.402564124,D
0.984656488,D
0.417414802,D
0.487006405,D
0.946581992,D
0.337403079,D
0.326455042,D
1.253029839,D
0.755197909,D
0.711707446,D
0.412054373,D
0.388595435,D
0.97662162,D
0.449856368,D
0.328108153,D
0.771128732,D
1.818089527,D
