@relation short

@attribute Uacc 	numeric
@attribute Ugyro 	numeric
@attribute class 	{D, G, H, W}

@data

0.44, 0.12, D
0.80, 0.75, D
0.44, 0.55, D
0.38, 0.16, D
0.35, 0.14, D
0.55, 0.75, D
0.64, 0.44, D
0.56, 0.20, D
0.42, 0.03, D
0.37, 0.01, D
0.69, 0.46, D
0.35, 0.75, D
0.42, 0.24, D
0.33, 0.09, D
0.40, 0.68, D
0.78, 0.70, D
0.48, 0.13, D
0.39, 0.02, D
0.43, 0.02, D
0.67, 0.81, D
0.38, 0.49, D
0.40, 0.22, D
0.29, 0.08, D
0.56, 1.13, D
0.75, 0.38, D
0.49, 0.13, D
0.41, 0.02, D
0.43, 0.06, D
0.54, 0.23, D
0.73, 1.13, D
0.39, 0.30, D
0.34, 0.14, D
0.26, 0.15, D
1.30, 1.61, D
0.75, 0.21, D
0.41, 0.03, D
0.41, 0.03, D
0.76, 0.52, D
0.40, 0.89, D
0.46, 0.41, D
0.39, 0.40, D
1.84, 1.75, D
0.51, 0.15, D
0.46, 0.07, D
0.89, 1.00, D
0.51, 0.68, D
0.35, 0.40, D
0.51, 0.49, D
1.15, 1.42, D
0.56, 0.18, D
0.43, 0.04, D
0.40, 0.01, D
1.00, 0.99, D
0.44, 0.72, D
0.34, 0.43, D
0.31, 0.17, D
1.37, 1.84, D
0.77, 0.24, D
0.43, 0.06, D
0.44, 0.03, D
0.83, 1.20, D
0.46, 0.70, D
0.29, 0.42, D
0.31, 0.07, D
1.29, 1.74, D
1.20, 0.49, D
0.40, 0.06, D
0.41, 0.05, D
0.52, 0.26, D
0.61, 1.11, D
0.43, 0.44, D
0.63, 0.88, D
1.04, 0.69, D
0.41, 0.09, D
0.40, 0.02, D
0.39, 0.01, D
0.94, 0.41, D
0.54, 1.08, D
0.36, 0.30, D
0.99, 1.25, D
1.00, 0.43, D
0.45, 0.12, D
0.36, 0.03, D
0.50, 0.13, D
0.88, 1.12, D
0.40, 0.44, D
0.56, 0.59, D
1.13, 1.12, D
0.41, 0.05, D
0.34, 0.04, D
0.91, 1.08, D
0.49, 0.50, D
0.32, 0.24, D
1.15, 1.36, D
0.94, 0.41, D
0.35, 0.04, D
0.34, 0.07, D
0.65, 0.23, D
0.76, 1.00, D
0.47, 0.59, D
0.37, 0.23, D
1.35, 1.72, D
0.49, 0.24, D
0.34, 0.10, D
0.28, 0.03, D
0.99, 1.22, D
0.39, 0.68, D
0.30, 0.13, D
1.53, 1.60, D
0.47, 0.11, D
0.33, 0.03, D
0.32, 0.01, D
0.75, 0.50, D
0.40, 0.95, D
0.35, 0.32, D
1.50, 1.46, D
0.55, 0.11, D
0.33, 0.03, D
0.82, 1.02, D
0.34, 0.53, D
0.31, 0.29, D
0.91, 1.19, D
1.17, 0.96, D
0.67, 0.50, D
0.62, 0.15, D
0.38, 0.03, D
1.10, 0.72, D
0.59, 1.25, D
0.29, 0.28, D
0.54, 0.41, D
1.86, 1.98, D
0.58, 0.21, D
0.38, 0.07, D
0.94, 0.93, D
0.63, 1.18, D
1.57, 1.04, D
1.74, 1.13, D
0.44, 0.10, D
0.46, 0.08, D
1.11, 1.02, D
0.58, 1.01, D
0.29, 0.22, D
1.18, 1.65, D
1.12, 0.75, D
0.50, 0.18, D
0.41, 0.01, D
1.06, 0.83, D
1.14, 0.68, D
1.03, 1.67, D
1.19, 1.13, D
1.88, 1.74, D
0.60, 0.19, D
0.45, 0.12, D
0.39, 0.10, D
0.98, 1.01, D
1.24, 1.40, D
0.47, 0.74, D
0.35, 0.23, D
1.61, 1.91, D
0.80, 0.57, D
0.42, 0.01, D
0.74, 0.43, D
1.06, 0.89, D
0.82, 1.54, D
0.38, 0.40, D
0.25, 0.08, D
2.44, 2.29, D
0.72, 0.38, D
0.72, 0.70, D
0.48, 0.11, D
0.39, 0.05, D
0.65, 0.27, D
1.18, 1.12, D
0.58, 0.53, D
0.29, 0.37, D
0.29, 0.14, D
1.40, 1.73, D
0.98, 0.46, D
0.42, 0.04, D
0.49, 0.15, D
0.95, 1.31, D
0.34, 0.66, D
0.33, 0.20, D
1.25, 1.63, D
0.76, 0.31, D
0.71, 0.12, D
0.41, 0.01, D
0.39, 0.02, D
0.98, 0.62, D
0.45, 1.21, D
0.33, 0.38, D
0.77, 0.76, D
1.82, 1.54, D
0.45, 0.23, D
0.41, 0.06, D
1.21, 0.65, D
0.77, 1.44, D
0.33, 0.42, D
0.29, 0.09, D
1.64, 1.93, D
0.77, 0.41, D
0.69, 0.24, D
0.41, 0.02, D
0.39, 0.01, D
1.11, 1.06, D
0.72, 1.09, D
0.34, 0.63, D
0.30, 0.22, D
2.20, 2.18, D
0.72, 0.44, D
0.44, 0.03, D
0.39, 0.01, D
0.97, 0.54, D
0.55, 1.29, D
0.26, 0.49, D
1.17, 0.73, D
2.38, 1.75, D
0.44, 0.16, D
0.50, 0.12, D
1.30, 1.21, D
0.37, 0.97, D
0.32, 0.32, D
0.27, 0.08, D
0.77, 1.04, D
1.32, 1.15, D
1.85, 1.74, D
0.30, 0.37, D
0.38, 0.12, D
2.53, 2.14, D
0.52, 0.41, D
0.57, 0.09, G
0.73, 0.31, G
2.23, 1.60, G
1.45, 1.49, G
1.01, 0.48, G
0.89, 0.70, G
0.69, 0.06, G
0.74, 0.23, G
1.48, 0.86, G
1.55, 2.12, G
2.58, 1.88, G
2.07, 0.74, G
0.72, 0.39, G
0.69, 0.15, G
2.80, 2.14, G
1.94, 1.82, G
1.07, 0.87, G
1.23, 0.54, G
0.64, 0.06, G
0.68, 0.06, G
1.74, 0.82, G
1.18, 1.47, G
1.03, 0.73, G
1.11, 0.85, G
1.55, 1.16, G
0.57, 0.10, G
0.62, 0.11, G
2.96, 2.07, G
